Objects;V;S;R;G;W1;W2;W3;W4;W5;W6;W7;W8;D1;D2;D3;D4;D5;D6;D7;D8;WO1;WO2;WO3;WO4;WO5;WO6;WN1;WN2;WN3;WN4;WN5;WN6;IW1;IW2;IW3;IW4;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;ID1;ID2;ID3;ID4;CD1;CD2;CD3;CD4;CD5;CD6;CD7;CD8;HL1;HL2;A;CP;PSA;HSA;PSAR;PHSAR;DRDRDR;DRDRAC;DRDRDO;DRACAC;DRACDO;DRDODO;ACACAC;ACACDO;ACDODO;DODODO;DD1;DD2;DD3;DD4;DD5;DD6;DD7;DD8;Log_Ptol
ZiSiSte_052;311.375;236.181;1.31838;1.09612;610.875;298.375;100.5;36.375;14.875;6.5;0.75;0;186.75;85.125;38.875;18.5;6.75;2.25;2;0.5;82.75;27.5;10.125;2;0;0;98.25;32.5;17.875;7.125;0.125;0;0.158852;0.904758;1.87411;2.5577;2.58647;1.26333;0.425521;0.154013;0.0629814;0.0275213;0.00317553;0;0.0815513;0.109727;0.0760906;0.0763753;0.790708;0.360423;0.164598;0.0783298;0.0285798;0.0095266;0.00846809;0.00211702;0.382637;0.351351;5.60048;4.32174;20.23;215.951;0.0856547;0.0936787;2.5441;4.18679;4.18679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.93
ZiSiSte_053;311.375;236.181;1.31838;1.09612;610.875;298.375;100.5;36.375;14.875;6.5;0.75;0;186.75;85.125;38.875;18.5;6.75;2.25;2;0.5;82.75;27.5;10.125;2;0;0;98.25;32.5;17.875;7.125;0.125;0;0.158852;0.904758;1.87411;2.5577;2.58647;1.26333;0.425521;0.154013;0.0629814;0.0275213;0.00317553;0;0.0815513;0.109727;0.0760906;0.0763753;0.790708;0.360423;0.164598;0.0783298;0.0285798;0.0095266;0.00846809;0.00211702;0.382637;0.351351;5.60048;4.32174;20.23;215.951;0.0856547;0.0936787;2.5441;4.18679;4.18679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05
ZiSiSte_054;283.5;222.615;1.2735;1.10167;347.875;38.125;0;0;0;0;0;0;179.75;50.75;14.875;4;1.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00697308;0;0;0;1.56267;0.17126;0;0;0;0;0;0;0.0130766;0.0436712;0.162581;0;0.807448;0.227972;0.0668194;0.0179682;0.0072996;0;0;0;0;0;0.749143;29.75;0;222.615;0;0;3.59193;0;0;0;0;0;0;0;0;0;4.875;0.5;1.25;0.375;0.125;0.125;0;0;3.489
ZiSiSte_055;294.375;230.665;1.2762;1.11904;534.375;319.125;182.125;87.125;47.375;23.25;4;0;98.625;21.25;5.5;0.5;0.125;0;0;0;123.625;50.5;21.875;3.125;0;0;222.75;103.75;55.75;25.125;3.75;0;0.334934;0.886291;1.57364;1.89964;2.31667;1.3835;0.789565;0.377712;0.205384;0.100795;0.0173412;0;0.103952;0.223202;0.438922;0;0.427568;0.0921249;0.0238441;0.00216764;0.000541911;0;0;0;8.61364;46.5;6.16124;0.121967;20.23;210.435;0.0877029;0.0961342;3.38395;2.85768;2.85768;0;0;0;0;0;0;0;0.375;0.375;0.625;0.125;0;0;0;0;0.427
ZiSiSte_056;331.75;253.966;1.30628;1.14717;746.25;514.625;263;86.375;25.25;4.375;0.25;0;105.875;58.5;30.625;15.25;6.5;2.625;1.25;0;91.75;27.625;12.625;4.625;0.5;0;241.125;65.125;15.875;0;0;0;0.099913;0.297422;0.607848;2.20689;2.93838;2.02635;1.03557;0.340104;0.0994227;0.0172267;0.000984383;0;0.0790825;0.0754082;0.110764;0.172421;0.416886;0.230346;0.120587;0.0600474;0.025594;0.010336;0.00492191;0;0.82449;0.286885;2.06964;3.34381;63.17;190.796;0.248734;0.331086;4.32842;5.0027;6.94763;5.25991;8.23277;0;0;5.27556;0;0;0.125;0.625;0.375;0.375;0.25;0.125;0.375;0;1.19
ZiSiSte_058;326;245.799;1.32629;1.11154;749.375;535.5;281.5;96.625;29.25;6.125;0.75;0;90.625;50;20;8.75;3.25;0.875;0;0;98.625;29.25;10.5;2.25;0;0;301.625;97.5;31;6.375;0.625;0;0.0997601;0.26869;0.84415;2.45912;3.04874;2.17861;1.14525;0.393106;0.119;0.0249188;0.00305128;0;0.0857918;0.0437159;0.0640929;0;0.368696;0.203419;0.0813674;0.0355982;0.0132222;0.00355982;0;0;1.4625;0.7;2.7191;3.29209;57.38;188.419;0.233443;0.304535;4.34304;6.83907;6.83907;8.10159;8.10159;0;5.28502;5.28502;0;0;1.625;0.25;0.5;0.625;0;0.25;0;0;0.34
ZiSiSte_060;310.75;232.391;1.33718;1.07199;614.5;307.25;98.5;36.625;16.375;6;0.625;0;187.375;86.75;40.375;18.875;6.75;3;2;0.5;80.375;27.875;10.25;1.5;0;0;94.625;32.375;16.875;6.375;0.625;0;0.159025;0.960519;1.88532;2.60068;2.64425;1.32212;0.423854;0.157601;0.070463;0.0258185;0.00268943;0;0.0952973;0.130047;0.0895381;0.0238648;0.806291;0.373293;0.173737;0.0812207;0.0290458;0.0129093;0.00860617;0.00215154;0.405573;0.317881;6.09229;3.58351;20.23;212.161;0.0870514;0.0953519;2.55171;4.19937;4.19937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.08
ZiSiSte_061;356.25;273.142;1.30427;1.19152;602.75;278.375;99.5;36;15.375;6.625;1.375;0;170.75;76;27.875;15.25;8.375;4.625;2.875;2.375;78.25;25.375;8.875;1.25;0;0;91.625;34;17.75;7;0.5;0;0.169626;0.891537;1.83941;2.38896;2.20673;1.01916;0.36428;0.1318;0.0562895;0.0242548;0.00503402;0;0.0518575;0.0460441;0.025811;0.0640287;0.625134;0.278244;0.102053;0.0558318;0.0306617;0.0169326;0.0105257;0.00869512;0.55157;0.434426;5.37397;6.95168;20.23;252.912;0.0740641;0.0799884;5.18596;4.67933;4.67933;0;0;0;0;0;0;0;0.25;0.125;0;0.125;0.125;0.125;0;0;1.279
ZiSiSte_062;543;377.812;1.43722;1.27171;935.25;485.75;201.75;81.5;33.5;7.625;3.625;1.25;238;101.875;48.5;20.125;8.75;4.5;3.25;1.625;0;0;0;0;0;0;267.75;97.625;40.875;10.875;5.125;1.25;0.0801709;0.331618;0.485103;1.77654;2.47544;1.28569;0.533996;0.215716;0.0886685;0.020182;0.00959473;0.00330853;0.0517168;0.110275;0.141887;0.190579;0.629943;0.269645;0.128371;0.0532673;0.0231597;0.0119107;0.00860217;0.00430108;0.690722;0.378882;4.19214;1.82084;8.64;369.172;0.0228685;0.0234037;8.66632;10.9416;0;7.0178;0;0;0;0;0;0;0.5;0;0.5;0.25;0.25;0;0;0.125;3.59
ZiSiSte_063;315.875;241.71;1.30683;1.11867;789.125;601.875;319.875;133.75;69.625;32.375;10.25;1.125;69.5;41.125;21.25;10.375;4.375;2.875;1.375;0.125;164.75;53.5;18;3.125;0;0;336.625;149.75;77.375;35;7.375;0;0.115924;0.310029;0.904307;2.22706;3.26476;2.49007;1.32338;0.553349;0.288052;0.133941;0.0424062;0.00465434;0.0333009;0.0259382;0.0468347;0.148842;0.287535;0.170142;0.0879152;0.0429233;0.0181002;0.0118944;0.00568863;0.000517149;3.27647;3.12048;2.37278;3.67411;57.53;184.18;0.238012;0.312357;4.31772;5.19193;5.19193;5.44086;5.44086;4.4066;6.93572;6.93572;6.93572;0;0;0.125;0;0.125;0.125;0;0;0;-1.44
